"Pos.","N°","Nombre","Puntos","LIGA","MOTO","CLUB","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","217","Hector Fabio Restrepo","3","Valle del Cauca","KTM","Carasucias","Libre novatos","1:07.106","2","","",""
"2","81","Santiago Garcés Jiménez","2","Cauca","Yamaha","CLUB CORONA CLUB XTREME PARK","Libre novatos","1:09.349","6","2.243","2.243",""
"3","88","Edison SAntiago GONZALEZ VELOZA","1","Tolima","KTM","CLUB PISTON RACING","Libre novatos","1:10.436","2","3.330","1.087",""
"4","108","Juan José López","1","Caldas","Honda","CLUB VILLAMARIA RACING CLUB","Libre novatos","1:11.300","6","4.194","0.864",""
"5","172","Brian Stiven ALVAREZ GRISALES","1","Tolima","Honda","CLUB PISTON RACING","Libre novatos","1:12.264","4","5.158","0.964",""
"6","444","Faber Andrés giraldo","1","Valle del Cauca","KTM","Carasucias","Libre novatos","1:13.064","1","5.958","0.800",""
"7","E-821","John Fredy Hernández Osorio","1","Caldas","Yamaha","CLUB VILLAMARIA RACING CLUB","Libre novatos","1:13.070","2","5.964","0.006",""
"8","92","Nelson Osorio","1","Valle del Cauca","KTM","Carasucias","Libre novatos","1:13.803","1","6.697","0.733",""
"9","222","Albeiro Aldemar Alvear Ortega","1","Valle del Cauca","KTM","Carasucias","Libre novatos","1:14.663","2","7.557","0.860",""
