"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","Q ","R1 ","R2 "
"1","114","Miguel Angel LOPEZ MARTINEZ","200 Expertos","33","0","Husqvarna","Quindío","CLUB RUTEROS DEL QUINDIO","3","15","15"
"2","563","Jhon Jader Valero Palencia","200 Expertos","28","5","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","2","13","13"
"3","229","Rubén Dario peña hoyos","200 Expertos","23","10","Yamaha","Valle del Cauca","Carasucias","1","11","11"
"4","132","Uberney VALENCIA MARTINEZ","200 Expertos","21","12","Yamaha","Valle del Cauca","Carasucias","1","10","10"
"5","722","Alan HERNANDEZ RABE","200 Expertos","19","14","Honda","Valle del Cauca","Carasucias","1","9","9"
"6","926","Santiago LEON","200 Expertos","9","24","Yamaha","Quindío","CLUB RUTEROS DEL QUINDIO","1","8","0"
