"Pos.","N°","Nombre","Puntos","LIGA","MOTO","CLUB","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","132","Uberney VALENCIA MARTINEZ","3","Valle del Cauca","KTM","Carasucias","Master","1:10.941","8","","",""
"2","251","Eder Danny TAPIERO LOPEZ","2","Valle del Cauca","KTM","MOTOCLUB TRAVESURAS","Master","1:11.132","4","0.191","0.191",""
"3","222","Albeiro Aldemar Alvear Ortega","1","Valle del Cauca","KTM","Carasucias","Master","1:12.207","2","1.266","1.075",""
"4","202","Ivan Dario BENAVIDES FAJARDO","1","Nariño","Yamaha","CLUB DEPORTIVO BUFALO XTREM","Master","1:14.508","4","3.567","2.301",""
"5","227","CARLOS ALBERTO LUCERO","1","Cauca","Yamaha","CLUB CORONA CLUB XTREME PARK","Master","1:15.249","5","4.308","0.741",""
"6","188","Edison Gonzales Botero","1","Tolima","KTM","CLUB PISTON RACING","Master","1:22.423","7","11.482","7.174",""
"7","216","Carlos Mario HERNANDEZ RAMIREZ","1","Quindío","Honda","CLUB MONSTER GARAGE","200 Novatos","1:25.767","3","14.826","3.344",""
