"Pos.","N°","Nombre","Puntos","LIGA","MOTO","CLUB","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","141","Isabela VILLEGAS BRAND","3","Valle del Cauca","Yamaha","Team Potenza","Femenina","1:14.653","5","","",""
"2","116","Ivanna ZULETA HOYOS","2","Antioquia","Husqvarna","CLUB MOTOCROSS DE YARUMAL","Femenina","1:17.054","5","2.401","2.401",""
"3","834","Valery Fernanda ARIAS ARCOS","1","Cauca","KTM","CLUB CORONA CLUB XTREME PARK","Femenina","1:18.600","5","3.947","1.546",""
"4","219","Aisha CASTRO","1","Tolima","KTM","GR 522 RACING","Femenina","1:20.294","3","5.641","1.694",""
"5","20","Salome HERNANDEZ AGUILAR","1","Caldas","KTM","CLUB DE MOTOCICLISMO LA DORADA","Femenina","1:21.349","4","6.696","1.055",""
"6","912","Laura Camila Bernal Cano","1","Quindío","Yamaha","CLUB DISCOVER QUINDIO","Femenina","1:24.687","2","10.034","3.338",""
"7","516","Laura Sofia BALCAZAR","1","Meta","Yamaha","VILLAVICENCIO RACING CLUB","Femenina","1:31.018","3","16.365","6.331",""
"8","212","Salome MENDEZ SAMBONI","1","Cauca","GasGas","CLUB CORONA CLUB XTREME PARK","Femenina","1:31.233","2","16.580","0.215",""
