"Pos.","N°","Nombre","Puntos","LIGA","MOTO","CLUB","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","114","Miguel Angel LOPEZ MARTINEZ","3","Quindío","Husqvarna","CLUB RUTEROS DEL QUINDIO","200 Expertos","1:06.341","3","","",""
"2","563","Jhon Jader Valero Palencia","2","Cauca","Yamaha","CLUB CORONA CLUB XTREME PARK","200 Expertos","1:12.410","5","6.069","6.069",""
"3","132","Uberney VALENCIA MARTINEZ","1","Valle del Cauca","Yamaha","Carasucias","200 Expertos","1:13.147","7","6.806","0.737",""
"4","722","Alan HERNANDEZ RABE","1","Valle del Cauca","Honda","Carasucias","200 Expertos","1:14.176","1","7.835","1.029",""
"5","926","Santiago LEON","1","Quindío","Yamaha","CLUB RUTEROS DEL QUINDIO","200 Expertos","1:15.360","3","9.019","1.184",""
"6","229","Rubén Dario peña hoyos","1","Valle del Cauca","Yamaha","Carasucias","200 Expertos","1:17.065","2","10.724","1.705",""
