"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","Q ","R1 ","R2 "
"1","88","Edison SAntiago GONZALEZ VELOZA","Libre novatos","31","0","KTM","Tolima","CLUB PISTON RACING","1","15","15"
"2","81","Santiago Garcés Jiménez","Libre novatos","26","5","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","2","11","13"
"3","444","Faber Andrés giraldo","Libre novatos","24","7","KTM","Valle del Cauca","Carasucias","1","13","10"
"4","E-821","John Fredy Hernández Osorio","Libre novatos","22","9","Yamaha","Caldas","CLUB VILLAMARIA RACING CLUB","1","10","11"
"5","217","Hector Fabio Restrepo","Libre novatos","20","11","KTM","Valle del Cauca","Carasucias","3","9","8"
"6","172","Brian Stiven ALVAREZ GRISALES","Libre novatos","18","13","Honda","Tolima","CLUB PISTON RACING","1","8","9"
"7","92","Nelson Osorio","Libre novatos","14","17","KTM","Valle del Cauca","Carasucias","1","6","7"
"8","108","Juan José López","Libre novatos","8","23","Honda","Caldas","CLUB VILLAMARIA RACING CLUB","1","7","0"
"9","222","Albeiro Aldemar Alvear Ortega","Libre novatos","7","24","KTM","Valle del Cauca","Carasucias","1","0","6"
