"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","R1. ","R2. ","R3. "
"1","132","Uberney VALENCIA MARTINEZ","Master","33","0","KTM","Valle del Cauca","Carasucias","3","15","15"
"2","251","Eder Danny TAPIERO LOPEZ","Master","28","5","KTM","Valle del Cauca","MOTOCLUB TRAVESURAS","2","13","13"
"3","222","Albeiro Aldemar Alvear Ortega","Master","23","10","KTM","Valle del Cauca","Carasucias","1","11","11"
"4","227","CARLOS ALBERTO LUCERO","Master","20","13","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","1","9","10"
"5","202","Ivan Dario BENAVIDES FAJARDO","Master","20","13","Yamaha","Nariño","CLUB DEPORTIVO BUFALO XTREM","1","10","9"
"6","188","Edison Gonzales Botero","Master","17","16","KTM","Tolima","CLUB PISTON RACING","1","8","8"
"7","216","Carlos Mario HERNANDEZ RAMIREZ","200 Novatos","1","32","Honda","Quindío","CLUB MONSTER GARAGE","1","0","0"
