"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","Q ","R1 ","R2 "
"1","141","Isabela VILLEGAS BRAND","Femenina","33","0","Yamaha","Valle del Cauca","Team Potenza","3","15","15"
"2","834","Valery Fernanda ARIAS ARCOS","Femenina","24","9","KTM","Cauca","CLUB CORONA CLUB XTREME PARK","1","10","13"
"3","20","Salome HERNANDEZ AGUILAR","Femenina","24","9","KTM","Caldas","CLUB DE MOTOCICLISMO LA DORADA","1","13","10"
"4","116","Ivanna ZULETA HOYOS","Femenina","22","11","Husqvarna","Antioquia","CLUB MOTOCROSS DE YARUMAL","2","11","9"
"5","219","Aisha CASTRO","Femenina","21","12","KTM","Tolima","GR 522 RACING","1","9","11"
"6","516","Laura Sofia BALCAZAR","Femenina","16","17","Yamaha","Meta","VILLAVICENCIO RACING CLUB","1","7","8"
"7","912","Laura Camila Bernal Cano","Femenina","14","19","Yamaha","Quindío","CLUB DISCOVER QUINDIO","1","6","7"
"8","212","Salome MENDEZ SAMBONI","Femenina","9","24","GasGas","Cauca","CLUB CORONA CLUB XTREME PARK","1","8","0"
