"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","Q ","R1 ","R2 "
"1","36","Jhon Jairo PINEDA VELASQUEZ","Mx master","31","0","Honda","Caldas","CLUB DE MOTOCICLISMO JP36","3","13","15"
"2","235","Paco TORRES CASTAÑEDA","Mx master","27","4","Yamaha","Bogotá D.C.","Xspeed Racing","2","15","10"
"3","79","Ricardo RESTREPO URIBE","Mx master","25","6","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1","11","13"
"4","214","Damian Monroy Valencia","Mx master","22","9","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1","10","11"
"5","207","CARLOS ALBERTO LUCERO","Mx master","19","12","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","1","9","9"
"NT","11","German Dario TREJO COLLAZOS","Mx master","0","31","Yamaha","Nariño","CLUB JOSMARC MOTOS RACING","0","0","0"
"NT","523","RICHARD ALEXANDER ALARCON ALVAREZ","Mx master","0","31","KTM","Putumayo","CLUB EXTREME RACING","0","0","0"
