"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","Q ","R1 ","R2 "
"1","919","David CHACON GUZMAN","Mx pro","33","0","Honda","Bogotá D.C.","Todo terreno track","3","15","15"
"2","837","JHOAN ANDRES BARRAGAN ALVAREZ","Mx pro","28","5","Husqvarna","Putumayo","TEAM RACING MOCOA","2","13","13"
"3","54","Thomas ZULUAGA GIRALDO","Mx pro","23","10","Yamaha","Antioquia","CLUB GRILLOS RACING","1","11","11"
"4","107","Miguel Angel FLOREZ VALENCIA","Mx pro","21","12","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1","10","10"
"5","235","Paco TORRES CASTAÑEDA","Mx pro","10","23","Yamaha","Bogotá D.C.","Xspeed Racing","1","9","0"
"6","59","Carlos Andres Urrea Henao","Mx pro","1","32","Yamaha","Antioquia","CLUB GRILLOS RACING","1","0","0"
"7","211","Yeison Alexander QUIÑONES RICO","Mx pro","1","32","Honda","Santander","CLUB MOTO FULL RACING TEAM","1","0","0"
