"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","Q ","R1 ","R2 "
"1","54","Thomas ZULUAGA GIRALDO","Mx 2","33","0","Yamaha","Antioquia","CLUB GRILLOS RACING","3","15","15"
"2","228","Jeronimo DAMELINES LOAIZA","Mx 2","25","8","Husqvarna","Risaralda","CLUB LOS GUEPARDOS","1","13","11"
"3","710","Juan David MENDOZA DUARTE","Mx 2","21","12","KTM","Meta","VILLAVICENCIO RACING CLUB","1","10","10"
"4","627","JERONIMO ROMAN VELASQUEZ","Mx 2","21","12","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1","11","9"
"5","211","Yeison Alexander QUIÑONES RICO","Mx 2","15","18","Honda","Santander","CLUB MOTO FULL RACING TEAM","2","0","13"
"6","114","Miguel Angel LOPEZ MARTINEZ","Mx 2","10","23","GasGas","Quindío","CLUB RUTEROS DEL QUINDIO","1","9","0"
