"Pos.","N°","Nombre","Clase","Puntos","LIGA","CLUB","Dif. resp. 1°","MOTO","Vueltas","Mejor Tm"
"1","54","Thomas ZULUAGA GIRALDO","Mx 2","3","Antioquia","CLUB GRILLOS RACING","","Yamaha","7","1:20.062"
"2","211","Yeison Alexander QUIÑONES RICO","Mx 2","2","Santander","CLUB MOTO FULL RACING TEAM","0.885","Honda","7","1:21.291"
"3","114","Miguel Angel LOPEZ MARTINEZ","Mx 2","1","Quindío","CLUB RUTEROS DEL QUINDIO","1.600","GasGas","7","1:21.193"
"4","627","JERONIMO ROMAN VELASQUEZ","Mx 2","1","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","29.370","Yamaha","7","1:24.444"
"5","228","Jeronimo DAMELINES LOAIZA","Mx 2","1","Risaralda","CLUB LOS GUEPARDOS","53.749","Husqvarna","7","1:25.731"
"6","710","Juan David MENDOZA DUARTE","Mx 2","1","Meta","VILLAVICENCIO RACING CLUB","2 Vueltas","KTM","5","1:20.800"
