"Pos.","N°","Nombre","Clase","Puntos","LIGA","CLUB","Dif. resp. 1°","MOTO","Vueltas","Mejor Tm"
"1","36","Jhon Jairo PINEDA VELASQUEZ","Mx master","15","Caldas","CLUB DE MOTOCICLISMO JP36","","Honda","10","1:44.230"
"2","79","Ricardo RESTREPO URIBE","Mx master","13","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","34.937","Yamaha","10","1:45.366"
"3","214","Damian Monroy Valencia","Mx master","11","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","2 Vueltas","Yamaha","8","2:10.691"
"4","235","Paco TORRES CASTAÑEDA","Mx master","10","Bogotá D.C.","Xspeed Racing","2 Vueltas","Yamaha","8","1:55.785"
"5","207","CARLOS ALBERTO LUCERO","Mx master","9","Cauca","CLUB CORONA CLUB XTREME PARK","2 Vueltas","Yamaha","8","2:16.842"
"NT","11","German Dario TREJO COLLAZOS","Mx master","0","Nariño","CLUB JOSMARC MOTOS RACING","NT","Yamaha","",""
"NT","523","RICHARD ALEXANDER ALARCON ALVAREZ","Mx master","0","Putumayo","CLUB EXTREME RACING","NT","KTM","",""
