"Pos.","N°","Nombre","Clase","Puntos","LIGA","CLUB","Dif. resp. 1°","MOTO","Vueltas","Mejor Tm"
"1","36","Jhon Jairo PINEDA VELASQUEZ","Mx master","3","Caldas","CLUB DE MOTOCICLISMO JP36","","Honda","7","1:24.201"
"2","235","Paco TORRES CASTAÑEDA","Mx master","2","Bogotá D.C.","Xspeed Racing","0.830","Yamaha","7","1:24.640"
"3","79","Ricardo RESTREPO URIBE","Mx master","1","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","14.466","Yamaha","7","1:26.532"
"4","214","Damian Monroy Valencia","Mx master","1","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1:12.300","Yamaha","7","1:34.391"
"5","207","CARLOS ALBERTO LUCERO","Mx master","1","Cauca","CLUB CORONA CLUB XTREME PARK","1 Vuelta","Yamaha","6","1:41.703"
"NT","11","German Dario TREJO COLLAZOS","Mx master","0","Nariño","CLUB JOSMARC MOTOS RACING","NT","Yamaha","",""
"NT","523","RICHARD ALEXANDER ALARCON ALVAREZ","Mx master","0","Putumayo","CLUB EXTREME RACING","NT","KTM","",""
