"Pos.","N°","Nombre","Clase","Puntos","LIGA","CLUB","Dif. resp. 1°","MOTO","Vueltas","Mejor Tm"
"1","235","Paco TORRES CASTAÑEDA","Mx master","15","Bogotá D.C.","Xspeed Racing","","Yamaha","12","1:24.146"
"2","36","Jhon Jairo PINEDA VELASQUEZ","Mx master","13","Caldas","CLUB DE MOTOCICLISMO JP36","0.456","Honda","12","1:24.479"
"3","79","Ricardo RESTREPO URIBE","Mx master","11","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","52.232","Yamaha","12","1:26.363"
"4","214","Damian Monroy Valencia","Mx master","10","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1 Vuelta","Yamaha","11","1:34.034"
"5","207","CARLOS ALBERTO LUCERO","Mx master","9","Cauca","CLUB CORONA CLUB XTREME PARK","2 Vueltas","Yamaha","10","1:39.397"
"NT","11","German Dario TREJO COLLAZOS","Mx master","0","Nariño","CLUB JOSMARC MOTOS RACING","NT","Yamaha","",""
"NT","523","RICHARD ALEXANDER ALARCON ALVAREZ","Mx master","0","Putumayo","CLUB EXTREME RACING","NT","KTM","",""
