"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Puntos","Total T°","Comentario"
"1","114","Miguel Angel LOPEZ MARTINEZ","200 Expertos","1:24.428","1","","","15","16:58.714",""
"2","983","EDINSON ANDRES CASAS PLAZA","200 Expertos","1:29.150","1","1:16.838","1:16.838","13","18:15.552",""
"3","229","Rubén Dario peña hoyos","200 Expertos","1:31.210","2","1:35.038","18.200","11","18:33.752",""
"4","563","Jhon Jader Valero Palencia","200 Expertos","1:32.820","1","1 Vuelta","1 Vuelta","10","17:17.775",""
"5","132","Uberney VALENCIA MARTINEZ","200 Expertos","1:34.491","1","1 Vuelta","52.953","9","18:10.728",""
"6","722","Alan HERNANDEZ RABE","200 Expertos","1:37.599","1","1 Vuelta","20.622","8","18:31.350",""
"NT","346","Yurk Breiner CORREA PEREZ","200 Expertos","1:43.289","1","NT","","0","7:30.689",""
"NT","710","Juan David MENDOZA DUARTE","200 Expertos","2:16.874","1","NT","","0","8:29.409",""
"NT","926","Santiago LEON","200 Expertos","","0","NT","","0","",""
