"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","Comentario","R1. ","R2. ","R3. "
"1","81","Santiago Garcés Jiménez","Libre novatos","27","0","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","","1","15","11"
"2","88","Edison SAntiago GONZALEZ VELOZA","Libre novatos","22","5","KTM","Tolima","CLUB PISTON RACING","","1","6","15"
"3","O-225","","Libre novatos","22","5","","","","","1","13","8"
"4","444","Faber Andrés giraldo","Libre novatos","21","6","KTM","Valle del Cauca","Carasucias","","1","7","13"
"5","172","Brian Stiven ALVAREZ GRISALES","Libre novatos","19","8","Honda","Tolima","CLUB PISTON RACING","","1","9","9"
"6","821-E","John Fredy Hernández Osorio","Libre novatos","19","8","Yamaha","Caldas","CLUB VILLAMARIA RACING CLUB","","2","11","6"
"7","92","Nelson Osorio","Libre novatos","18","9","KTM","Valle del Cauca","Carasucias","","1","10","7"
"8","217","Hector Fabio Restrepo","Libre novatos","13","14","KTM","Valle del Cauca","Carasucias","","3","0","10"
"9","26","Rene Alberto ACOSTA CRIOLLO","Libre novatos","13","14","Husqvarna","Quindío","CLUB RUTEROS DEL QUINDIO","","1","8","4"
"10","829","Jhoan felipe collazos rojas","Libre novatos","11","16","Kawasaki","Valle del Cauca","Dos Ruedas Racing Team","","1","5","5"
"11","630","Samuel Andres PINTO DUARTE","Libre novatos","4","23","Yamaha","Meta","VILLAVICENCIO RACING CLUB","","1","0","3"
"NT","78","Andres felipe eraso moncayo","Libre novatos","1","26","Kawasaki","Valle del Cauca","Braaap Park","","1","0","0"
