"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Puntos","Total T°","Comentario"
"1","141","Isabela VILLEGAS BRAND","Femenina","1:29.769","6","","","15","14:28.400",""
"2","116","Ivanna ZULETA HOYOS","Femenina","1:29.399","5","8.192","8.192","13","14:36.592",""
"3","419","Karen Luciana PRIETO AGUILAR","Femenina","1:30.134","5","15.722","7.530","11","14:44.122",""
"4","20","Salome HERNANDEZ AGUILAR","Femenina","1:34.809","4","54.440","38.718","10","15:22.840",""
"5","19","Sandra Yamileth SALAZAR","Femenina","1:39.253","4","1:37.478","43.038","9","16:05.878",""
"6","516","Laura Sofia BALCAZAR","Femenina","1:46.752","2","1 Vuelta","1 Vuelta","8","16:02.177",""
"7","912","Laura Camila Bernal Cano","Femenina","1:46.037","5","1 Vuelta","36.803","7","16:38.980","AYUDA EXT."
"8","O-506","Salome Giraldo Ramos","Femenina","1:52.300","3","2 Vueltas","1 Vuelta","6","16:34.149",""
"9","O-422","Nikol Obando","Femenina","2:06.527","4","3 Vueltas","1 Vuelta","5","14:31.791",""
"10","28","Sofia ESCOBAR HINCAPIE","Femenina","1:35.942","4","3 Vueltas","2:32.667","4","17:04.458","AYUDA EXT."
"","O-931","Valery Sarria","Femenina","5:07.183","1","6 Vueltas","3 Vueltas","0","14:36.895",""
"NT","212","Salome MENDEZ SAMBONI","Femenina","1:49.571","1","NT","","0","7:04.642",""
