"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","Comentario","R1. ","R2. ","R3. "
"1","114","Miguel Angel LOPEZ MARTINEZ","200 Expertos","33","0","Honda","Quindío","CLUB RUTEROS DEL QUINDIO","","3","15","15"
"2","229","Rubén Dario peña hoyos","200 Expertos","25","8","Yamaha","Valle del Cauca","Carasucias","","1","11","13"
"3","983","EDINSON ANDRES CASAS PLAZA","200 Expertos","24","9","Yamaha","Huila","CLUB MOTO JAPONESA","","1","13","10"
"4","563","Jhon Jader Valero Palencia","200 Expertos","23","10","Honda","Cauca","CLUB CORONA CLUB XTREME PARK","","2","10","11"
"5","132","Uberney VALENCIA MARTINEZ","200 Expertos","18","15","Yamaha","Valle del Cauca","Carasucias","","1","9","8"
"6","346","Yurk Breiner CORREA PEREZ","200 Expertos","10","23","Honda","Tolima","CLUB PISTON RACING","","1","0","9"
"7","722","Alan HERNANDEZ RABE","200 Expertos","9","24","Honda","Valle del Cauca","Carasucias","","1","8","0"
"8","710","Juan David MENDOZA DUARTE","200 Expertos","1","32","Yamaha","Meta","VILLAVICENCIO RACING CLUB","","1","0","0"
"9","926","Santiago LEON","200 Expertos","1","32","Yamaha","Quindío","CLUB RUTEROS DEL QUINDIO","","1","0","0"
